source,target,type
3992443023418750,7281894092151793,undirected
3992443023418750,2259972571280670,undirected
7281894092151793,2259972571280670,undirected
1573696350142408,0943676308486509,undirected
9012704117180126,4588973096462209,undirected
2294939956078737,9031315724751637,undirected
2428482958068947,4115142289440616,undirected
2294939956078737,7736718825083074,undirected
0806893389732831,3835364244120054,undirected
0681931788963814,0193920171889480,undirected
5455455290915823,1627594508204285,undirected
4101562077663619,3313511334783986,undirected
1739441747281321,9487149052862292,undirected
5668994764098997,0011551326068336,undirected
4101562077663619,3313511334783986,undirected
2635292088828520,4736160233231094,undirected
2635292088828520,4736160233231094,undirected
7421096523152034,1505814835374901,undirected
7421096523152034,7288728943944810,undirected
7421096523152034,8948264943492897,undirected
1505814835374901,7288728943944810,undirected
1505814835374901,8948264943492897,undirected
7288728943944810,8948264943492897,undirected
9003227735210843,7116144690986974,undirected
3986808120771884,8226609855788662,undirected
9121022613112821,7814534710550639,undirected
9575599426631865,5277890125838184,undirected
9919214482621635,9975336655023605,undirected
4245795847992951,7116144690986974,undirected
4245795847992951,5554403984004797,undirected
4245795847992951,5554403984004797,undirected
4245795847992951,7116144690986974,undirected
7116144690986974,5554403984004797,undirected
7116144690986974,4245795847992951,undirected
7116144690986974,5554403984004797,undirected
5554403984004797,4245795847992951,undirected
5554403984004797,7116144690986974,undirected
4245795847992951,5554403984004797,undirected
4245795847992951,7116144690986974,undirected
5554403984004797,7116144690986974,undirected
8709856465061922,1573568521807396,undirected
4101562077663619,3313511334783986,undirected
1521815731111261,3790201696145434,undirected
1521815731111261,3078416821864516,undirected
0128404227626176,7127079460290707,undirected
1521815731111261,4919679410498911,undirected
1521815731111261,7090860536737106,undirected
4919679410498911,7090860536737106,undirected
0717201760672435,2190849183511530,undirected
7892247821251194,2050632960242405,undirected
4101562077663619,3313511334783986,undirected
9121022613112821,3283598158176491,undirected
2635292088828520,4736160233231094,undirected
8961360348378314,0746844511320579,undirected
8961360348378314,3196088341529197,undirected
8961360348378314,3231673965885112,undirected
0746844511320579,3196088341529197,undirected
0746844511320579,3231673965885112,undirected
3196088341529197,3231673965885112,undirected
4101562077663619,3313511334783986,undirected
3477515781752110,1124411643731989,undirected
9813050025873249,3862323454964593,undirected
9813050025873249,3691130692268611,undirected
9813050025873249,3862323454964593,undirected
9813050025873249,3691130692268611,undirected
3862323454964593,3691130692268611,undirected
3862323454964593,3691130692268611,undirected
3691130692268611,3862323454964593,undirected
3862323454964593,3691130692268611,undirected
7768514307504896,9503590477083354,undirected
5386062931435896,7116144690986974,undirected
1811798221105264,6028875897440363,undirected
5455455290915823,1627594508204285,undirected
8709856465061922,1573568521807396,undirected
3460324370874535,2132033120487705,undirected
9352141379363877,8248984158865213,undirected
9352141379363877,8248984158865213,undirected
8324947891255931,9638195936355666,undirected
1521815731111261,0704592200063682,undirected
5386062931435896,7116144690986974,undirected
5386062931435896,7116144690986974,undirected
0261990846667194,6201090945674922,undirected
2763241614261951,1423739481002930,undirected
5309315072574421,2190849183511530,undirected
4101562077663619,3313511334783986,undirected
5620090660136938,1715387197125009,undirected
3196088341529197,8359794088105618,undirected
6869560815938822,8672011039222476,undirected
1786889674911887,3196088341529197,undirected
8988021201825358,5436095547235417,undirected
7421096523152034,5464023129390042,undirected
1573696350142408,0943676308486509,undirected
8324947891255931,9638195936355666,undirected
7992017963907407,3818385640376862,undirected
1096941114079527,1350166605717268,undirected
3862323454964593,3691130692268611,undirected
3460324370874535,2413762536332614,undirected
3460324370874535,2132033120487705,undirected
2413762536332614,2132033120487705,undirected
9121022613112821,1244921142436160,undirected
9121022613112821,7814534710550639,undirected
1244921142436160,7814534710550639,undirected
2435246122515176,0799322864183147,undirected
1786889674911887,3196088341529197,undirected
9329326606646660,5828944409163245,undirected
3986808120771884,8226609855788662,undirected
7736718825083074,7090860536737106,undirected
2428482958068947,4115142289440616,undirected
4101562077663619,3313511334783986,undirected
5386062931435896,7116144690986974,undirected
2381192998577858,1603069013244489,undirected
3992443023418750,7552747227876113,undirected
6991802488982626,2790322814354811,undirected
0977494541313720,3698999001620631,undirected
5386062931435896,7116144690986974,undirected
1527384914713614,5520375586616162,undirected
8181788948588711,6747215104363265,undirected
0196062088104144,5554403984004797,undirected
0196062088104144,9334825640676043,undirected
0196062088104144,7116144690986974,undirected
5554403984004797,9334825640676043,undirected
5554403984004797,7116144690986974,undirected
9334825640676043,7116144690986974,undirected
8226609855788662,2381192998577858,undirected
1096941114079527,1350166605717268,undirected
1096941114079527,4418446095942420,undirected
1350166605717268,4418446095942420,undirected
0373218283700156,9391126971766027,undirected
5464023129390042,6969855749872267,undirected
3156942927958240,0080024407634503,undirected
0305869466590867,0243149516560011,undirected
9919214482621635,1655930426274093,undirected
9919214482621635,9975336655023605,undirected
1655930426274093,9975336655023605,undirected
1505814835374901,8731141058928409,undirected
5455455290915823,1627594508204285,undirected
8181788948588711,2843723816783356,undirected
6552120101074110,3434512478247756,undirected
3790201696145434,2171782600728348,undirected
5370402791671277,4194875028507925,undirected
9121022613112821,3283598158176491,undirected
9803674875661950,5444302383531634,undirected
8181788948588711,6747215104363265,undirected
9919214482621635,9975336655023605,undirected
1308322882367474,5179463874913502,undirected
1308322882367474,5179463874913502,undirected
9160098334683413,5616761232930328,undirected
6991802488982626,2790322814354811,undirected
4966250654143157,9487149052862292,undirected
9144795450225559,9575599426631865,undirected
1573696350142408,0943676308486509,undirected
1521815731111261,0704592200063682,undirected
1521815731111261,0704592200063682,undirected
0704592200063682,1521815731111261,undirected
1521815731111261,0704592200063682,undirected
2204782841421432,3823772604133067,undirected
9919214482621635,9975336655023605,undirected
5256126817276550,2212701427166337,undirected
0704592200063682,2171782600728348,undirected
8324947891255931,9638195936355666,undirected
2028194865995189,0504902111633621,undirected
3726906309882939,5246036827089404,undirected
6552120101074110,3434512478247756,undirected
6964321483849391,7853693376691151,undirected
1096941114079527,4418446095942420,undirected
3460324370874535,7356987381643055,undirected
5461298675563346,3459490150327226,undirected
5455455290915823,1627594508204285,undirected
0274178372961922,4231525079449216,undirected
6301401714714951,1521815731111261,undirected
5455455290915823,1627594508204285,undirected
2413762536332614,2132033120487705,undirected
9012704117180126,4588973096462209,undirected
7421096523152034,1505814835374901,undirected
7421096523152034,7288728943944810,undirected
7421096523152034,8948264943492897,undirected
1505814835374901,7288728943944810,undirected
1505814835374901,8948264943492897,undirected
7288728943944810,8948264943492897,undirected
4101562077663619,3313511334783986,undirected
1786889674911887,3196088341529197,undirected
3992443023418750,4455461576886254,undirected
7116144690986974,0196062088104144,undirected
7116144690986974,9334825640676043,undirected
0196062088104144,9334825640676043,undirected
1096941114079527,1350166605717268,undirected
0274178372961922,4231525079449216,undirected
2763241614261951,1423739481002930,undirected
9121022613112821,7814534710550639,undirected
9121022613112821,7814534710550639,undirected
7814534710550639,9121022613112821,undirected
9121022613112821,7814534710550639,undirected
1118295106303499,7013804849654706,undirected
8324947891255931,9638195936355666,undirected
3196088341529197,8359794088105618,undirected
6408169127073219,8152477449159336,undirected
0799322864183147,9503590477083354,undirected
0799322864183147,9275705085791151,undirected
9503590477083354,9275705085791151,undirected
3196088341529197,8359794088105618,undirected
1277202985083208,9631665928287598,undirected
1277202985083208,3355141192938134,undirected
1277202985083208,6408169127073219,undirected
9631665928287598,3355141192938134,undirected
9631665928287598,6408169127073219,undirected
3355141192938134,6408169127073219,undirected
6162898058710276,7177024435446745,undirected
6162898058710276,6408169127073219,undirected
6162898058710276,8452501626408652,undirected
6162898058710276,4001544191185131,undirected
6162898058710276,7177024435446745,undirected
6162898058710276,2534222073519593,undirected
6162898058710276,9631665928287598,undirected
6162898058710276,1484808558396980,undirected
6162898058710276,3196024835975835,undirected
6162898058710276,7068648540073233,undirected
6162898058710276,9835944306956139,undirected
6162898058710276,6428391549824795,undirected
6162898058710276,1484808558396980,undirected
6162898058710276,4220998164028087,undirected
6162898058710276,3547672971050734,undirected
6162898058710276,8293044394759438,undirected
6162898058710276,6830890364021965,undirected
6162898058710276,2599412050029994,undirected
6162898058710276,1555331911245009,undirected
6162898058710276,3547672971050734,undirected
6162898058710276,6408169127073219,undirected
6162898058710276,0713830419650872,undirected
6162898058710276,6830890364021965,undirected
6162898058710276,3296337995365996,undirected
6162898058710276,9461707454019533,undirected
6162898058710276,9171209579621221,undirected
6162898058710276,1263593714592175,undirected
7177024435446745,6408169127073219,undirected
7177024435446745,8452501626408652,undirected
7177024435446745,4001544191185131,undirected
7177024435446745,2534222073519593,undirected
7177024435446745,9631665928287598,undirected
7177024435446745,1484808558396980,undirected
7177024435446745,3196024835975835,undirected
7177024435446745,7068648540073233,undirected
7177024435446745,9835944306956139,undirected
7177024435446745,6428391549824795,undirected
7177024435446745,1484808558396980,undirected
7177024435446745,4220998164028087,undirected
7177024435446745,3547672971050734,undirected
7177024435446745,8293044394759438,undirected
7177024435446745,6830890364021965,undirected
7177024435446745,2599412050029994,undirected
7177024435446745,1555331911245009,undirected
7177024435446745,3547672971050734,undirected
7177024435446745,6408169127073219,undirected
7177024435446745,0713830419650872,undirected
7177024435446745,6830890364021965,undirected
7177024435446745,3296337995365996,undirected
7177024435446745,9461707454019533,undirected
7177024435446745,9171209579621221,undirected
7177024435446745,1263593714592175,undirected
6408169127073219,8452501626408652,undirected
6408169127073219,4001544191185131,undirected
6408169127073219,7177024435446745,undirected
6408169127073219,2534222073519593,undirected
6408169127073219,9631665928287598,undirected
6408169127073219,1484808558396980,undirected
6408169127073219,3196024835975835,undirected
6408169127073219,7068648540073233,undirected
6408169127073219,9835944306956139,undirected
6408169127073219,6428391549824795,undirected
6408169127073219,1484808558396980,undirected
6408169127073219,4220998164028087,undirected
6408169127073219,3547672971050734,undirected
6408169127073219,8293044394759438,undirected
6408169127073219,6830890364021965,undirected
6408169127073219,2599412050029994,undirected
6408169127073219,1555331911245009,undirected
6408169127073219,3547672971050734,undirected
6408169127073219,0713830419650872,undirected
6408169127073219,6830890364021965,undirected
6408169127073219,3296337995365996,undirected
6408169127073219,9461707454019533,undirected
6408169127073219,9171209579621221,undirected
6408169127073219,1263593714592175,undirected
8452501626408652,4001544191185131,undirected
8452501626408652,7177024435446745,undirected
8452501626408652,2534222073519593,undirected
8452501626408652,9631665928287598,undirected
8452501626408652,1484808558396980,undirected
8452501626408652,3196024835975835,undirected
8452501626408652,7068648540073233,undirected
8452501626408652,9835944306956139,undirected
8452501626408652,6428391549824795,undirected
8452501626408652,1484808558396980,undirected
8452501626408652,4220998164028087,undirected
8452501626408652,3547672971050734,undirected
8452501626408652,8293044394759438,undirected
8452501626408652,6830890364021965,undirected
8452501626408652,2599412050029994,undirected
8452501626408652,1555331911245009,undirected
8452501626408652,3547672971050734,undirected
8452501626408652,6408169127073219,undirected
8452501626408652,0713830419650872,undirected
8452501626408652,6830890364021965,undirected
8452501626408652,3296337995365996,undirected
8452501626408652,9461707454019533,undirected
8452501626408652,9171209579621221,undirected
8452501626408652,1263593714592175,undirected
4001544191185131,7177024435446745,undirected
4001544191185131,2534222073519593,undirected
4001544191185131,9631665928287598,undirected
4001544191185131,1484808558396980,undirected
4001544191185131,3196024835975835,undirected
4001544191185131,7068648540073233,undirected
4001544191185131,9835944306956139,undirected
4001544191185131,6428391549824795,undirected
4001544191185131,1484808558396980,undirected
4001544191185131,4220998164028087,undirected
4001544191185131,3547672971050734,undirected
4001544191185131,8293044394759438,undirected
4001544191185131,6830890364021965,undirected
4001544191185131,2599412050029994,undirected
4001544191185131,1555331911245009,undirected
4001544191185131,3547672971050734,undirected
4001544191185131,6408169127073219,undirected
4001544191185131,0713830419650872,undirected
4001544191185131,6830890364021965,undirected
4001544191185131,3296337995365996,undirected
4001544191185131,9461707454019533,undirected
4001544191185131,9171209579621221,undirected
4001544191185131,1263593714592175,undirected
7177024435446745,2534222073519593,undirected
7177024435446745,9631665928287598,undirected
7177024435446745,1484808558396980,undirected
7177024435446745,3196024835975835,undirected
7177024435446745,7068648540073233,undirected
7177024435446745,9835944306956139,undirected
7177024435446745,6428391549824795,undirected
7177024435446745,1484808558396980,undirected
7177024435446745,4220998164028087,undirected
7177024435446745,3547672971050734,undirected
7177024435446745,8293044394759438,undirected
7177024435446745,6830890364021965,undirected
7177024435446745,2599412050029994,undirected
7177024435446745,1555331911245009,undirected
7177024435446745,3547672971050734,undirected
7177024435446745,6408169127073219,undirected
7177024435446745,0713830419650872,undirected
7177024435446745,6830890364021965,undirected
7177024435446745,3296337995365996,undirected
7177024435446745,9461707454019533,undirected
7177024435446745,9171209579621221,undirected
7177024435446745,1263593714592175,undirected
2534222073519593,9631665928287598,undirected
2534222073519593,1484808558396980,undirected
2534222073519593,3196024835975835,undirected
2534222073519593,7068648540073233,undirected
2534222073519593,9835944306956139,undirected
2534222073519593,6428391549824795,undirected
2534222073519593,1484808558396980,undirected
2534222073519593,4220998164028087,undirected
2534222073519593,3547672971050734,undirected
2534222073519593,8293044394759438,undirected
2534222073519593,6830890364021965,undirected
2534222073519593,2599412050029994,undirected
2534222073519593,1555331911245009,undirected
2534222073519593,3547672971050734,undirected
2534222073519593,6408169127073219,undirected
2534222073519593,0713830419650872,undirected
2534222073519593,6830890364021965,undirected
2534222073519593,3296337995365996,undirected
2534222073519593,9461707454019533,undirected
2534222073519593,9171209579621221,undirected
2534222073519593,1263593714592175,undirected
9631665928287598,1484808558396980,undirected
9631665928287598,3196024835975835,undirected
9631665928287598,7068648540073233,undirected
9631665928287598,9835944306956139,undirected
9631665928287598,6428391549824795,undirected
9631665928287598,1484808558396980,undirected
9631665928287598,4220998164028087,undirected
9631665928287598,3547672971050734,undirected
9631665928287598,8293044394759438,undirected
9631665928287598,6830890364021965,undirected
9631665928287598,2599412050029994,undirected
9631665928287598,1555331911245009,undirected
9631665928287598,3547672971050734,undirected
9631665928287598,6408169127073219,undirected
9631665928287598,0713830419650872,undirected
9631665928287598,6830890364021965,undirected
9631665928287598,3296337995365996,undirected
9631665928287598,9461707454019533,undirected
9631665928287598,9171209579621221,undirected
9631665928287598,1263593714592175,undirected
1484808558396980,3196024835975835,undirected
1484808558396980,7068648540073233,undirected
1484808558396980,9835944306956139,undirected
1484808558396980,6428391549824795,undirected
1484808558396980,4220998164028087,undirected
1484808558396980,3547672971050734,undirected
1484808558396980,8293044394759438,undirected
1484808558396980,6830890364021965,undirected
1484808558396980,2599412050029994,undirected
1484808558396980,1555331911245009,undirected
1484808558396980,3547672971050734,undirected
1484808558396980,6408169127073219,undirected
1484808558396980,0713830419650872,undirected
1484808558396980,6830890364021965,undirected
1484808558396980,3296337995365996,undirected
1484808558396980,9461707454019533,undirected
1484808558396980,9171209579621221,undirected
1484808558396980,1263593714592175,undirected
3196024835975835,7068648540073233,undirected
3196024835975835,9835944306956139,undirected
3196024835975835,6428391549824795,undirected
3196024835975835,1484808558396980,undirected
3196024835975835,4220998164028087,undirected
3196024835975835,3547672971050734,undirected
3196024835975835,8293044394759438,undirected
3196024835975835,6830890364021965,undirected
3196024835975835,2599412050029994,undirected
3196024835975835,1555331911245009,undirected
3196024835975835,3547672971050734,undirected
3196024835975835,6408169127073219,undirected
3196024835975835,0713830419650872,undirected
3196024835975835,6830890364021965,undirected
3196024835975835,3296337995365996,undirected
3196024835975835,9461707454019533,undirected
3196024835975835,9171209579621221,undirected
3196024835975835,1263593714592175,undirected
7068648540073233,9835944306956139,undirected
7068648540073233,6428391549824795,undirected
7068648540073233,1484808558396980,undirected
7068648540073233,4220998164028087,undirected
7068648540073233,3547672971050734,undirected
7068648540073233,8293044394759438,undirected
7068648540073233,6830890364021965,undirected
7068648540073233,2599412050029994,undirected
7068648540073233,1555331911245009,undirected
7068648540073233,3547672971050734,undirected
7068648540073233,6408169127073219,undirected
7068648540073233,0713830419650872,undirected
7068648540073233,6830890364021965,undirected
7068648540073233,3296337995365996,undirected
7068648540073233,9461707454019533,undirected
7068648540073233,9171209579621221,undirected
7068648540073233,1263593714592175,undirected
9835944306956139,6428391549824795,undirected
9835944306956139,1484808558396980,undirected
9835944306956139,4220998164028087,undirected
9835944306956139,3547672971050734,undirected
9835944306956139,8293044394759438,undirected
9835944306956139,6830890364021965,undirected
9835944306956139,2599412050029994,undirected
9835944306956139,1555331911245009,undirected
9835944306956139,3547672971050734,undirected
9835944306956139,6408169127073219,undirected
9835944306956139,0713830419650872,undirected
9835944306956139,6830890364021965,undirected
9835944306956139,3296337995365996,undirected
9835944306956139,9461707454019533,undirected
9835944306956139,9171209579621221,undirected
9835944306956139,1263593714592175,undirected
6428391549824795,1484808558396980,undirected
6428391549824795,4220998164028087,undirected
6428391549824795,3547672971050734,undirected
6428391549824795,8293044394759438,undirected
6428391549824795,6830890364021965,undirected
6428391549824795,2599412050029994,undirected
6428391549824795,1555331911245009,undirected
6428391549824795,3547672971050734,undirected
6428391549824795,6408169127073219,undirected
6428391549824795,0713830419650872,undirected
6428391549824795,6830890364021965,undirected
6428391549824795,3296337995365996,undirected
6428391549824795,9461707454019533,undirected
6428391549824795,9171209579621221,undirected
6428391549824795,1263593714592175,undirected
1484808558396980,4220998164028087,undirected
1484808558396980,3547672971050734,undirected
1484808558396980,8293044394759438,undirected
1484808558396980,6830890364021965,undirected
1484808558396980,2599412050029994,undirected
1484808558396980,1555331911245009,undirected
1484808558396980,3547672971050734,undirected
1484808558396980,6408169127073219,undirected
1484808558396980,0713830419650872,undirected
1484808558396980,6830890364021965,undirected
1484808558396980,3296337995365996,undirected
1484808558396980,9461707454019533,undirected
1484808558396980,9171209579621221,undirected
1484808558396980,1263593714592175,undirected
4220998164028087,3547672971050734,undirected
4220998164028087,8293044394759438,undirected
4220998164028087,6830890364021965,undirected
4220998164028087,2599412050029994,undirected
4220998164028087,1555331911245009,undirected
4220998164028087,3547672971050734,undirected
4220998164028087,6408169127073219,undirected
4220998164028087,0713830419650872,undirected
4220998164028087,6830890364021965,undirected
4220998164028087,3296337995365996,undirected
4220998164028087,9461707454019533,undirected
4220998164028087,9171209579621221,undirected
4220998164028087,1263593714592175,undirected
3547672971050734,8293044394759438,undirected
3547672971050734,6830890364021965,undirected
3547672971050734,2599412050029994,undirected
3547672971050734,1555331911245009,undirected
